ean,nombre,marca,kcal_100g,proteina_100g,hidratos_100g,grasas_100g,rol_principal,grupo_mediterraneo,frecuencia_mediterranea,permitido_comidas,categorias,,,
8480000038524,Guacamole,Hacendado,149.0,1.9,2.0,13.7,grasa,bebida,ocasional,"desayuno,almuerzo,merienda,cena","Alimentos y bebidas de origen vegetal,Alimentos de origen vegetal,Condimentos,Untables,Untables vegetales,Salsas,Salsas para mojar,Guacamoles",,,
8480000171320,Tomate frito,Hacendado,77.0,1.5,9.5,3.5,hidrato,verdura,frecuente,"almuerzo,cena","Condimentos,Salsas,en:Meal sauces,Salsas de tomate,Salsas de tomate frito,en:Groceries",,,
8480000168832,Crema de cacahuetes 100%,Hacendado,608.0,30.0,12.0,47.0,grasa,frutos_secos,regular,"desayuno,media_manana,merienda,postre","Alimentos y bebidas de origen vegetal,Alimentos de origen vegetal,Leguminosas y derivados,Untables,Frutos de cáscara y derivados,Untables vegetales,Purés de oleaginosas,Mantecas de leguminosas,Mantecas de frutos de cáscara,Mantecas de cacahuete",,,
8480000142139,Digestive Avena,Hacendado,477.0,7.5,61.0,21.0,hidrato,dulce,ocasional,"desayuno,media_manana,almuerzo,merienda,cena,postre","Botanas,Snacks dulces,Galletas y pasteles,en:Biscuits and crackers,Galletas",,,
8480000156112,Avena crunchy,Hacendado,390.0,13.0,66.0,5.8,hidrato,cereal_integral,frecuente,"desayuno,media_manana,almuerzo,merienda,cena","Alimentos y bebidas de origen vegetal,Alimentos de origen vegetal,Desayunos,Cereales y patatas,Cereales y derivados,Cereales para el desayuno",,,
8480000235794,Ketchup,Hacendado,115.0,1.3,27.0,0.0,hidrato,verdura,frecuente,"almuerzo,cena","Condimentos,Salsas,Salsas de tomate,Kétchups,Molhos,Molhos-de-tomate",,,
8480000809421,Tortillas de trigo integrales,Hacendado,271.0,9.3,41.0,5.8,hidrato,huevo,regular,"almuerzo,cena","Alimentos y bebidas de origen vegetal,Alimentos de origen vegetal,Cereales y patatas,Cereales y derivados,Panes,Panes planos,Panes especiales,Panes blancos,Panes de trigo,en:Wheat flatbreads,Panes integrales",,,
8402001015205,Avena Crunchy Cacao,Hacendado,393.0,13.0,65.0,6.4,hidrato,cereal_integral,frecuente,"desayuno,media_manana,almuerzo,merienda,cena","Alimentos y bebidas de origen vegetal,Alimentos de origen vegetal,Desayunos,Cereales y patatas,Cereales y derivados,Cereales para el desayuno,en:Extruded cereals",,,
8436547770137,Kéfir natural sabor suave,Hacendado,74.0,3.9,5.1,4.2,"hidrato,grasa",lacteo,regular,"desayuno,media_manana,merienda,postre","Lácteos,Comidas fermentadas,Productos fermentados de la leche,Postres,Postres lácteos,en:Fermented dairy desserts,en:Kefir yogurts",,,
8480000229663,Corn Flakes 0% azúcares añadidos,Hacendado,373.0,6.7,82.0,1.1,hidrato,dulce,ocasional,"desayuno,media_manana,almuerzo,merienda,cena,postre","Alimentos y bebidas de origen vegetal,Alimentos de origen vegetal,Desayunos,Cereales y patatas,Cereales y derivados,Cereales para el desayuno,Copos,Copos de cereales,en:Extruded cereals,en:Extruded flakes,Copos de maíz tostado",,,
